2Draw,X,Bot,9,"(1, 2)",Draw
X,X,Bot,7,"(1, 1)",Win
O,Bot,O,6,"(2, 3)",Lose
X,X,Bot,5,"(1, 1)",Win
X,X,Bot,7,"(1, 1)",Win
X,X,Bot,5,"(3, 3)",Win
O,Bot,O,8,"(2, 1)",Lose
X,X,Bot,7,"(3, 2)",Win
X,Bot,O,5,"(1, 1)",Win
X,X,Bot,5,"(1, 1)",Win
X,X,Bot,5,"(1, 2)",Win
X,X,Bot,9,"(1, 3)",Win
O,Bot,O,8,"(3, 2)",Lose
O,X,Bot,8,"(1, 1)",Lose
X,X,Bot,5,"(1, 1)",Win
X,X,Bot,7,"(3, 1)",Win
X,X,Bot,5,"(1, 1)",Win
X,X,Bot,5,"(1, 1)",Win
X,X,Bot,5,"(1, 1)",Win
X,Bot,O,7,"(3, 2)",Win
O,Bot,O,6,"(3, 3)",Lose
O,Bot,O,6,"(1, 1)",Lose
X,Bot,O,7,"(1, 3)",Win
O,Bot,O,6,"(2, 3)",Lose
X,Bot,O,7,"(2, 1)",Win
O,Bot,O,8,"(3, 3)",Lose
O,Bot,O,8,"(3, 2)",Lose
X,Bot,O,7,"(3, 2)",Win
X,Bot,O,7,"(2, 2)",Win
X,X,Bot,5,"(1, 3)",Win
